id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>
1,accuracy,-0.1848,0.0451,2,71,5588,246,2023.7967
2,apnea-hypopnea index (AHI),0.4751,0.6036,4,72,4662,209,2023.7177
3,airflow,-0.4069,0.777,3,51,756,32,2023.5
4,analysis,0.4767,-0.0732,1,71,2882,135,2024.1481
5,apnea,-0.763,0.1908,3,69,1645,69,2023.9855
6,artificial intelligence,0.6508,0.4371,1,57,512,21,2024.8571
7,AUC,0.7443,-0.6578,1,64,1269,45,2024.3111
8,BMI,1.2537,-0.194,1,39,367,16,2023.875
9,breathing,-0.2956,-0.3891,2,62,595,25,2024.12
10,classification,-0.35,0.205,3,68,2690,105,2024.0476
11,classification accuracy,-0.6026,0.2666,3,62,616,24,2023.7083
12,classifier,0.0671,-0.6154,5,64,1021,42,2023.881
13,cluster,1.356,-0.1099,1,33,396,20,2024.9
14,convolutional neural network (CNN),-0.6623,0.4631,2,63,1829,78,2023.3205
15,common sleep disorder,-0.7306,-0.0141,5,55,294,14,2023.7143
16,comorbidity,1.3562,0.0063,1,38,316,15,2024.2667
17,dataset,-0.5454,-0.299,2,71,3272,146,2024.1233
18,daytime sleepiness,0.8524,0.5726,1,39,238,13,2021.6923
19,deep learning,-0.462,0.315,2,68,976,42,2023.5476
20,deep learning model,-0.346,0.5691,3,65,915,35,2023.6286
21,deep neural network,0.0211,0.6715,6,44,299,14,2023.4286
22,detection,-0.6371,0.1393,3,69,3304,153,2024.0261
23,diagnosis,-0.1856,0.3943,3,72,2755,119,2023.7143
24,disease,0.3583,-0.3129,1,70,1194,52,2022.9808
25,early diagnosis,0.6927,-0.2196,1,53,228,10,2024.7
26,electrocardiogram (ECG),-0.6422,-0.442,2,69,4186,183,2023.8361
27,electroencephalogram (EEG),-0.5824,0.0918,3,58,1070,43,2023.4651
28,EMG,-0.4867,-0.5545,3,44,405,15,2024.2667
29,F1-score,-0.2585,-0.6326,2,65,902,34,2024.1765
30,fold cross-validation,-0.1304,-0.6936,5,52,308,13,2023.1538
31,heart rate variability (HRV),-0.1889,-0.6973,5,56,691,32,2023.5937
32,HSAT,0.7675,0.7086,4,33,408,16,2024.375
33,hypopnea,-0.6859,0.5547,3,64,1031,43,2023.7674
34,ICC,0.4275,0.9862,4,24,378,13,2024
35,logistic regression,0.8145,-0.8193,1,43,451,15,2023.7333
36,LSTM,-0.8629,-0.1264,2,56,387,15,2022.6667
37,machine,0.3333,-0.6431,1,67,1444,54,2023.7963
38,machine learning,0.252,-0.6527,1,64,770,31,2023.6129
39,model,0.0537,-0.256,2,72,9519,409,2024.0733
40,neural network,-0.4974,0.0632,2,62,790,41,2023.8049
41,obstructive sleep apnea (OSA),0.529,0.1743,1,71,9936,479,2023.6535
42,OSA detection,-0.2962,-0.4807,5,61,1098,51,2023.7451
43,obstructive sleep apnea-hypopnea syndrome (OSAHS),0.51,-0.4696,2,46,669,35,2023.6286
44,OSA diagnosis,0.5121,-0.3857,5,49,343,15,2024
45,OSA screening,0.8917,0.3234,1,53,503,24,2024.375
46,patient,0.6844,-0.1007,1,71,4652,204,2023.4804
47,performance,-0.0392,-0.5111,2,72,3914,166,2023.8494
48,physiological signal,-0.7618,-0.0003,3,51,362,14,2023.7143
49,polysomnography (PSG),0.2393,0.4698,4,72,5779,261,2023.7663
50,PPG,0.5987,0.8069,4,37,428,17,2022.5294
51,precision,-0.2296,-0.5797,2,57,529,23,2024.4783
52,prediction,-0.2136,-0.2062,3,66,1098,50,2024.16
53,prevalent sleep disorder,-0.4757,-0.6814,2,53,244,10,2024.5
54,random forest,0.6282,-0.7899,1,58,470,17,2023.4706
55,receiver,0.9857,-0.3875,1,48,345,12,2023.5833
56,respiratory event,-0.1508,0.8188,4,51,773,30,2023.4
57,sleep apnea detection,-0.911,-0.3514,2,55,1057,57,2024.3333
58,sleep apnea-hypopnea syndrome (SAHS),-0.5163,0.8509,3,41,396,19,2023.5263
59,sleep apnea syndrome (SAS),-0.8977,-0.128,2,46,524,30,2023.6667
60,sleep-disordered breathing (SDB),0.0993,0.7117,4,55,660,27,2023.2963
61,severe OSA,0.9847,-0.152,1,55,1041,43,2023.2558
62,severity,0.2753,0.7607,1,68,1613,70,2023.5429
63,signal,-0.4278,0.4619,3,72,4554,214,2023.4766
64,single-lead ECG,-0.7533,-0.6091,2,49,533,25,2024.04
65,sleep,-0.0361,0.4962,3,71,2413,103,2023.534
66,sleep apnea,-0.7124,-0.1688,2,70,2520,125,2023.848
67,sleep disorder,-0.6008,-0.05,3,66,870,40,2024.175
68,sleep stage,0.0535,0.7655,4,55,679,24,2023.7083
69,snoring,0.1314,0.0572,2,48,382,19,2023.9474
70,SpO2,-0.121,0.8391,4,56,775,29,2024.1379
71,support vector machine (SVM),0.3489,-0.7349,1,58,913,35,2023.4
72,upper airway,0.3206,-0.3861,2,52,286,14,2023.5
73,wearable device,-0.7956,0.3396,5,50,498,23,2023.1739
