id	term	occurrences	relevance score
1	accuracy	246	0.0841
2	apnea-hypopnea index (AHI)	209	0.3761
3	airflow	32	0.4821
4	analysis	135	0.1603
5	apnea	69	0.3114
6	artificial intelligence	21	0.2456
7	AUC	45	1.9695
8	BMI	16	8.0601
9	breathing	25	0.1209
10	classification	105	0.1287
11	classification accuracy	24	0.2182
12	classifier	42	0.173
13	cluster	20	12.4442
14	convolutional neural network (CNN)	78	0.4183
15	common sleep disorder	14	0.3285
16	comorbidity	15	13.93
17	dataset	146	0.2605
18	daytime sleepiness	13	2.446
19	deep learning	42	0.18
20	deep learning model	35	0.2632
21	deep neural network	14	0.185
22	detection	153	0.2204
23	diagnosis	119	0.0782
24	disease	52	0.1914
25	early diagnosis	10	1.3519
26	electrocardiogram (ECG)	183	0.4508
27	electroencephalogram (EEG)	43	0.4727
28	EMG	15	0.8061
29	F1-score	34	0.2063
30	fold cross-validation	13	0.236
31	heart rate variability (HRV)	32	0.46
32	HSAT	16	1.1827
33	hypopnea	43	0.507
34	ICC	13	2.1675
35	logistic regression	15	3.9493
36	LSTM	15	0.6035
37	machine	54	0.5278
38	machine learning	31	0.2717
39	model	409	0.1618
40	neural network	41	0.3154
41	obstructive sleep apnea (OSA)	479	0.2275
42	OSA detection	51	0.3259
43	obstructive sleep apnea-hypopnea syndrome (OSAHS)	35	1.4425
44	OSA diagnosis	15	0.2524
45	OSA screening	24	0.7437
46	patient	204	0.4259
47	performance	166	0.0724
48	physiological signal	14	0.4571
49	polysomnography (PSG)	261	0.1062
50	PPG	17	1.1987
51	precision	23	0.2476
52	prediction	50	0.0861
53	prevalent sleep disorder	10	0.6309
54	random forest	17	2.6145
55	receiver	12	2.4842
56	respiratory event	30	0.7447
57	sleep apnea detection	57	1.0383
58	sleep apnea-hypopnea syndrome (SAHS)	19	0.7578
59	sleep apnea syndrome (SAS)	30	1.0352
60	sleep-disordered breathing (SDB)	27	0.3826
61	severe OSA	43	1.1512
62	severity	70	0.3149
63	signal	214	0.1846
64	single-lead ECG	25	0.9506
65	sleep	103	0.0499
66	sleep apnea	125	0.2924
67	sleep disorder	40	0.1946
68	sleep stage	24	0.7048
69	snoring	19	0.6188
70	SpO2	29	0.5351
71	support vector machine (SVM)	35	1.2238
72	upper airway	14	0.1567
73	wearable device	23	0.5904
