id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>
1,accuracy,-0.1848,0.0451,2,86,5588,246,2023.7967
2,ahi,0.4717,0.6582,4,85,3150,137,2023.708
3,airflow,-0.4069,0.777,3,63,756,32,2023.5
4,analysis,0.4767,-0.0732,1,86,2882,135,2024.1481
5,apnea,-0.763,0.1908,3,80,1645,69,2023.9855
6,apnea hypopnea index,0.4298,0.5086,4,83,1313,55,2023.4545
7,apneahypopnea index,0.6492,0.4711,1,67,431,17,2024.6471
8,artificial intelligence,0.6508,0.4371,1,68,512,21,2024.8571
9,auc,0.7443,-0.6578,1,77,1269,45,2024.3111
10,bmi,1.2537,-0.194,1,48,367,16,2023.875
11,breathing,-0.2956,-0.3891,2,74,595,25,2024.12
12,classification,-0.35,0.205,3,83,2690,105,2024.0476
13,classification accuracy,-0.6026,0.2666,3,75,616,24,2023.7083
14,classifier,0.0671,-0.6154,5,78,1021,42,2023.881
15,cluster,1.356,-0.1099,1,40,396,20,2024.9
16,cnn,-0.6471,0.5987,3,66,796,31,2023.5484
17,common sleep disorder,-0.7306,-0.0141,5,66,294,14,2023.7143
18,comorbidity,1.3562,0.0063,1,42,316,15,2024.2667
19,convolutional neural network,-0.6723,0.3736,2,73,1091,47,2023.1702
20,dataset,-0.5454,-0.299,2,85,3272,146,2024.1233
21,daytime sleepiness,0.8524,0.5726,1,44,238,13,2021.6923
22,deep learning,-0.462,0.315,2,81,976,42,2023.5476
23,deep learning model,-0.346,0.5691,3,77,915,35,2023.6286
24,deep neural network,0.0211,0.6715,6,50,299,14,2023.4286
25,detection,-0.6371,0.1393,3,83,3304,153,2024.0261
26,diagnosis,-0.1856,0.3943,3,87,2755,119,2023.7143
27,disease,0.3583,-0.3129,1,83,1194,52,2022.9808
28,early diagnosis,0.6927,-0.2196,1,60,228,10,2024.7
29,ecg,-0.619,-0.4982,2,81,2180,95,2023.9158
30,ecg signal,-0.7411,-0.3628,3,72,1622,62,2023.8387
31,eeg,-0.4789,-0.102,3,62,776,28,2024.0357
32,eeg signal,-0.7757,0.4535,3,59,316,15,2022.4
33,electrocardiogram,-0.4913,-0.4258,5,74,648,26,2023.5385
34,emg,-0.4867,-0.5545,3,52,405,15,2024.2667
35,f1 score,-0.2585,-0.6326,2,80,902,34,2024.1765
36,fold cross validation,-0.1304,-0.6936,5,61,308,13,2023.1538
37,heart rate variability,-0.0356,-0.7844,5,61,349,15,2023.4
38,hrv,-0.3242,-0.6204,5,53,376,17,2023.7647
39,hsat,0.7675,0.7086,4,40,408,16,2024.375
40,hypopnea,-0.6859,0.5547,3,75,1031,43,2023.7674
41,icc,0.4275,0.9862,4,28,378,13,2024
42,logistic regression,0.8145,-0.8193,1,51,451,15,2023.7333
43,lstm,-0.8629,-0.1264,2,67,387,15,2022.6667
44,machine,0.3333,-0.6431,1,82,1444,54,2023.7963
45,machine learning,0.252,-0.6527,1,76,770,31,2023.6129
46,model,0.0537,-0.256,2,87,9519,409,2024.0733
47,neural network,-0.4974,0.0632,2,74,790,41,2023.8049
48,obstructive sleep apnea,0.5668,0.0523,1,85,3624,157,2023.7134
49,obstructive sleep apnea detection,-0.2322,-0.4568,5,60,288,13,2023.5385
50,obstructive sleep apnea hypopnea syndrome,0.6012,-0.5462,2,46,217,10,2023.4
51,osa,0.495,0.2372,1,84,6777,303,2023.6898
52,osa detection,-0.3181,-0.4889,5,68,834,38,2023.8158
53,osa diagnosis,0.5121,-0.3857,5,57,343,15,2024
54,osa screening,0.8917,0.3234,1,62,503,24,2024.375
55,osahs,0.4735,-0.439,2,53,506,25,2023.72
56,osas,0.7599,0.1782,1,44,341,19,2022.5789
57,patient,0.6844,-0.1007,1,86,4652,204,2023.4804
58,performance,-0.0392,-0.5111,2,87,3914,166,2023.8494
59,physiological signal,-0.7618,-0.0003,3,63,362,14,2023.7143
60,polysomnography,0.1652,0.3252,4,87,2918,126,2023.8095
61,ppg,0.5987,0.8069,4,42,428,17,2022.5294
62,precision,-0.2296,-0.5797,2,68,529,23,2024.4783
63,prediction,-0.2136,-0.2062,3,79,1098,50,2024.16
64,prevalent sleep disorder,-0.4757,-0.6814,2,63,244,10,2024.5
65,psg,0.3085,0.6048,4,87,3143,135,2023.7259
66,random forest,0.6282,-0.7899,1,66,470,17,2023.4706
67,receiver,0.9857,-0.3875,1,57,345,12,2023.5833
68,respiratory event,-0.1508,0.8188,4,61,773,30,2023.4
69,sa detection,-0.9115,-0.492,2,52,443,24,2024.0833
70,sahs,-0.5163,0.8509,3,49,396,19,2023.5263
71,sas,-0.8977,-0.128,2,52,524,30,2023.6667
72,sdb,0.1624,0.7617,4,41,294,11,2023.3636
73,severe osa,0.9847,-0.152,1,65,1041,43,2023.2558
74,severity,0.2753,0.7607,1,82,1613,70,2023.5429
75,signal,-0.4278,0.4619,3,87,4554,214,2023.4766
76,single lead electrocardiogram,-0.7533,-0.6091,2,60,533,25,2024.04
77,sleep,-0.0361,0.4962,3,86,2413,103,2023.534
78,sleep apnea,-0.7124,-0.1688,2,83,2520,125,2023.848
79,sleep apnea detection,-0.9106,-0.2491,2,63,640,33,2024.5152
80,sleep disorder,-0.6008,-0.05,3,77,870,40,2024.175
81,sleep disordered breathing,0.056,0.6774,4,65,402,16,2023.25
82,sleep stage,0.0535,0.7655,4,65,679,24,2023.7083
83,snoring,0.1314,0.0572,2,57,382,19,2023.9474
84,spo2,-0.121,0.8391,4,68,775,29,2024.1379
85,support vector machine,0.531,-0.77,1,68,574,20,2023.5
86,svm,0.1062,-0.688,1,61,365,15,2023.2667
87,upper airway,0.3206,-0.3861,2,61,286,14,2023.5
88,wearable device,-0.7956,0.3396,5,62,498,23,2023.1739
