id	term	occurrences	relevance score
1	accuracy	246	0.0841
2	ahi	137	0.4157
3	airflow	32	0.4821
4	analysis	135	0.1603
5	apnea	69	0.3114
6	apnea hypopnea index	55	0.1967
7	apneahypopnea index	17	0.6371
8	artificial intelligence	21	0.2456
9	auc	45	1.9695
10	bmi	16	8.0601
11	breathing	25	0.1209
12	classification	105	0.1287
13	classification accuracy	24	0.2182
14	classifier	42	0.173
15	cluster	20	12.4442
16	cnn	31	0.5355
17	common sleep disorder	14	0.3285
18	comorbidity	15	13.93
19	convolutional neural network	47	0.341
20	dataset	146	0.2605
21	daytime sleepiness	13	2.446
22	deep learning	42	0.18
23	deep learning model	35	0.2632
24	deep neural network	14	0.185
25	detection	153	0.2204
26	diagnosis	119	0.0782
27	disease	52	0.1914
28	early diagnosis	10	1.3519
29	ecg	95	0.4375
30	ecg signal	62	0.5306
31	eeg	28	0.4108
32	eeg signal	15	0.5882
33	electrocardiogram	26	0.3092
34	emg	15	0.8061
35	f1 score	34	0.2063
36	fold cross validation	13	0.236
37	heart rate variability	15	0.428
38	hrv	17	0.4882
39	hsat	16	1.1827
40	hypopnea	43	0.507
41	icc	13	2.1675
42	logistic regression	15	3.9493
43	lstm	15	0.6035
44	machine	54	0.5278
45	machine learning	31	0.2717
46	model	409	0.1618
47	neural network	41	0.3154
48	obstructive sleep apnea	157	0.1376
49	obstructive sleep apnea detection	13	0.2851
50	obstructive sleep apnea hypopnea syndrome	10	2.0249
51	osa	303	0.2413
52	osa detection	38	0.3398
53	osa diagnosis	15	0.2524
54	osa screening	24	0.7437
55	osahs	25	1.2096
56	osas	19	0.7512
57	patient	204	0.4259
58	performance	166	0.0724
59	physiological signal	14	0.4571
60	polysomnography	126	0.037
61	ppg	17	1.1987
62	precision	23	0.2476
63	prediction	50	0.0861
64	prevalent sleep disorder	10	0.6309
65	psg	135	0.1707
66	random forest	17	2.6145
67	receiver	12	2.4842
68	respiratory event	30	0.7447
69	sa detection	24	1.3687
70	sahs	19	0.7578
71	sas	30	1.0352
72	sdb	11	0.4932
73	severe osa	43	1.1512
74	severity	70	0.3149
75	signal	214	0.1846
76	single lead electrocardiogram	25	0.9506
77	sleep	103	0.0499
78	sleep apnea	125	0.2924
79	sleep apnea detection	33	0.798
80	sleep disorder	40	0.1946
81	sleep disordered breathing	16	0.3066
82	sleep stage	24	0.7048
83	snoring	19	0.6188
84	spo2	29	0.5351
85	support vector machine	20	1.8028
86	svm	15	0.4519
87	upper airway	14	0.1567
88	wearable device	23	0.5904
